name,main_category,image,ratings,no_of_ratings,actual_price,source_file,actual_price_usd,ranking_score,product_id,search_text
Clovia Women's Medium Impact Padded Non-Wired Full Cup Sports Bra with Removable Cups,Womens Innerwear,https://m.media-amazon.com/images/I/71htP+A5bKL._AC_UL320_.jpg,2.1,3,1199,Womens Innerwear.csv,13.19,1.84,33,product: clovia women's medium impact padded non-wired full cup sports bra with removable cups. category: womens innerwear. price: $13.19. rating: 2.1 out of 5. reviews: 3. clovia women's medium impact padded non-wired full cup sports bra with removable cups
NINTEEN-69 Cotton Mix Hosiery Double Padded Comfortable Hookable Bra for Women,Womens Innerwear,https://m.media-amazon.com/images/I/61BuZ3Ens7L._AC_UL320_.jpg,4.7,4,500,Womens Innerwear.csv,5.5,3.72,34,product: ninteen-69 cotton mix hosiery double padded comfortable hookable bra for women. category: womens innerwear. price: $5.5. rating: 4.7 out of 5. reviews: 4. ninteen-69 cotton mix hosiery double padded comfortable hookable bra for women
Zivame Curvy Double Layered Non Wired Full Coverage Maternity/Nursing Bra Supper Support Bra - White,Womens Innerwear,https://m.media-amazon.com/images/I/61wIDaYSZWL._AC_UL320_.jpg,4.7,9,749,Womens Innerwear.csv,8.24,3.88,35,product: zivame curvy double layered non wired full coverage maternity/nursing bra supper support bra - white. category: womens innerwear. price: $8.24. rating: 4.7 out of 5. reviews: 9. zivame curvy double layered non wired full coverage maternity/nursing bra supper support bra - white
Indigo Women's Rayon Regular Fit Night Suit (SS20-IND1219_Blue_S),Womens Innerwear,https://m.media-amazon.com/images/I/71WgWdft+VL._AC_UL320_.jpg,4.5,11,1799,Womens Innerwear.csv,19.79,3.78,36,product: indigo women's rayon regular fit night suit (ss20-ind1219_blue_s). category: womens innerwear. price: $19.79. rating: 4.5 out of 5. reviews: 11. indigo women's rayon regular fit night suit (ss20-ind1219_blue_s)
LEADING LADY Women's Plain/Solid Bikini (Pack of 3),Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71RMVTtNW7L._AC_UL320_.jpg,4.7,17,501,Womens Innerwear.csv,5.51,4.0,37,product: leading lady women's plain/solid bikini (pack of 3). category: womens innerwear. price: $5.51. rating: 4.7 out of 5. reviews: 17. leading lady women's plain/solid bikini (pack of 3)
Clovia Women's Cotton Printed T-Shirt & Pyjama Set,Womens Innerwear,https://m.media-amazon.com/images/I/61IIxFrQMML._AC_UL320_.jpg,5.0,3,1899,Womens Innerwear.csv,20.89,3.87,38,product: clovia women's cotton printed t-shirt & pyjama set. category: womens innerwear. price: $20.89. rating: 5.0 out of 5. reviews: 3. clovia women's cotton printed t-shirt & pyjama set
DAISY DEE Black Color Cotton Wirefree Regular Straps Seamless Full Coverage Non Padded T-Shirt Bra for Women - SKB STYLA,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61jQ6zVK+aL._AC_UL320_.jpg,4.0,33,800,Womens Innerwear.csv,8.8,3.63,39,product: daisy dee black color cotton wirefree regular straps seamless full coverage non padded t-shirt bra for women - skb styla. category: womens innerwear. price: $8.8. rating: 4.0 out of 5. reviews: 33. daisy dee black color cotton wirefree regular straps seamless full coverage non padded t-shirt bra for women - skb styla
Fshway Women's Cotton Lightly Padded Wire Free Bralette Bra,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81yIRz4tPNL._AC_UL320_.jpg,4.0,28,999,Womens Innerwear.csv,10.99,3.6,40,product: fshway women's cotton lightly padded wire free bralette bra. category: womens innerwear. price: $10.99. rating: 4.0 out of 5. reviews: 28. fshway women's cotton lightly padded wire free bralette bra
EROTISSCH Pure Cotton Cover Up Swimwear Beachwear Set for Women,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61tyrBz4LJL._AC_UL320_.jpg,4.2,3,2399,Womens Innerwear.csv,26.39,3.31,41,product: erotissch pure cotton cover up swimwear beachwear set for women. category: womens innerwear. price: $26.39. rating: 4.2 out of 5. reviews: 3. erotissch pure cotton cover up swimwear beachwear set for women
Kalyani Women's Cotton Polyester Lightly Padded Wire Free T-Shirt Bra,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/510tje10pqS._AC_UL320_.jpg,4.0,32,610,Womens Innerwear.csv,6.71,3.63,42,product: kalyani women's cotton polyester lightly padded wire free t-shirt bra. category: womens innerwear. price: $6.71. rating: 4.0 out of 5. reviews: 32. kalyani women's cotton polyester lightly padded wire free t-shirt bra
